phone_hash,tower_id,timestamp,signal_strength
b241e69590243b73294ea1da9bce87f1452ac15c50b59fbf3c91698ab3f7e2f5,TOW-BLR-001,2026-08-30T10:30:00Z,-70
b241e69590243b73294ea1da9bce87f1452ac15c50b59fbf3c91698ab3f7e2f5,TOW-BLR-002,2026-08-31T02:45:00Z,-65
7fbbef964c17d50ed5b43cfa2bd8675c4a3ddc2a3950fe32d1395f173b6e685d,TOW-BLR-001,2026-08-30T11:15:00Z,-72
7fbbef964c17d50ed5b43cfa2bd8675c4a3ddc2a3950fe32d1395f173b6e685d,TOW-BLR-003,2026-08-31T14:30:00Z,-68
b241e69590243b73294ea1da9bce87f1452ac15c50b59fbf3c91698ab3f7e2f5,TOW-BLR-004,2026-08-30T18:00:00Z,-75
8963666809dd578c2ae5802f77f2079812ac5e2898bd26f77006bacfc68b1d6a,TOW-BLR-004,2026-08-30T18:05:00Z,-74
b241e69590243b73294ea1da9bce87f1452ac15c50b59fbf3c91698ab3f7e2f5,TOW-BLR-005,2026-08-31T20:00:00Z,-70
8963666809dd578c2ae5802f77f2079812ac5e2898bd26f77006bacfc68b1d6a,TOW-BLR-005,2026-08-31T20:08:00Z,-72
7355981e8992a80509ace13b1335c2a8cd545b8360935685134fa7cb54f66f14,TOW-BLR-001,2026-08-30T10:45:00Z,-80
c12260777c3ba298b99f2663a86537711b43e9732e18f8b076e677598b3ed60e,TOW-BLR-001,2026-08-30T11:20:00Z,-78
9fd7f2b9b5f8475cebdb874b539f9acbfa7464ff54b048aa5fb1f2324d30a1dd,TOW-BLR-001,2026-08-30T15:00:00Z,-75
55768ebde66794472f72ffb0e46b19fb191ed283e65f0f937924db158b9f03cc,TOW-BLR-001,2026-08-30T01:49:16Z,-63
d2436884e59a142c599c677d7a8e920706502f134261082705708e2c52ff095c,TOW-BLR-002,2026-08-30T16:15:13Z,-102
2d895a911f5789f518089b46011e7e6e61c0baf1b0808c4cc511b1f00ac3c55b,TOW-BLR-001,2026-08-31T15:42:44Z,-105
071d0773364cfafd218f4938d448a477fb5fc70a27fe41d917e1c8213472908e,TOW-BLR-004,2026-08-30T02:18:51Z,-109
63e057fde085f12ed5175da4bedf4ca9b785b50614b0d21a48adcd1cd457483f,TOW-BLR-002,2026-08-30T16:56:30Z,-78
a6b9b064c298e3a2b3f93834e33675a4415900230ca5a96e1e9963baafbf4749,TOW-BLR-001,2026-08-31T16:52:07Z,-98
c2e085ff3106211c72863a7a99360642c5170eadd9a22346a895f4cec806fc92,TOW-BLR-005,2026-08-31T06:32:54Z,-96
dd35e063db12ee83e41574ec0d96a0e650341ace34a6c33951a9a571c96e3930,TOW-BLR-005,2026-08-30T20:15:26Z,-59
21308ebc339ed29ba2719c3421b30cf3d970d86d5452bf72124521884c6e130e,TOW-BLR-001,2026-08-30T11:37:33Z,-66
ef381ec30b82913c60a6c06d3c429ef4f754d856719fe68096ff9c3cff940bfb,TOW-BLR-003,2026-08-30T20:14:02Z,-101
128a2c7bd4fd5507bb0d446ee5793b54ea77c9ab7beee573ac0798d61385482f,TOW-BLR-003,2026-08-30T07:26:33Z,-105
733e613aa1af193c29f217e1041ea514990da8f1507065bf8b682122676bd98c,TOW-BLR-001,2026-08-31T02:08:24Z,-56
3d47fa14eca1ad3c6af4a7630628e3e43d0de0e692c02fb9966106fd91f3e1c2,TOW-BLR-005,2026-08-30T19:15:42Z,-59
f639adcff8a55ba9d5eae8cb29118e2cf7a99cef509afa19f23e7c9e34413df7,TOW-BLR-004,2026-08-31T15:02:48Z,-103
438def5eabfbb68a3b92db643ef7878613bbc2faa66a7a86b4eba14d00bd1745,TOW-BLR-004,2026-08-30T05:44:16Z,-75
c14c122b7d80c0cadc54149e12c9e1f574f2499598653912351b2a668a0aba1d,TOW-BLR-005,2026-08-31T02:20:00Z,-74
033cb5d2a369636fca13cc266088ef49b139033d26568e95cfc45648b2f00aff,TOW-BLR-001,2026-08-30T03:20:12Z,-68
f2055c8b46b26b9a2e5732e9978e2bc147a79c229c37c88d62397440e84a9adc,TOW-BLR-003,2026-08-30T05:48:36Z,-56
e8f00016406bb08c12dc8c0e43fc32a1da7071e14c3cea997d3566848d75a7b4,TOW-BLR-001,2026-08-31T03:40:47Z,-93
664899f7580500b65ee3fb2b483121846c0c74a9d8f1124ee5067346bfc951ce,TOW-BLR-003,2026-08-30T11:50:38Z,-87
1f79de33c2108975365a7031a039f6022577be75a0a004d91eefb2973f386493,TOW-BLR-002,2026-08-30T19:26:26Z,-66
4a963e06b1fc70d0275420de2b12ed9ca98f83e89daa42cb95678b2dd0d555dd,TOW-BLR-001,2026-08-31T20:21:20Z,-70
